 workload,recordtype,operation
DragonCopilot,DragonCopilotAdmin,DeletedEhrUser
DragonCopilot,DragonCopilotAdmin,DeletedEnvironment
DragonCopilot,DragonCopilotAdmin,DeletedGroup
DragonCopilot,DragonCopilotAdmin,DeletedOrganizationRoleAssignment
DragonCopilot,DragonCopilotAdmin,DeletedRoleAssignment
DragonCopilot,DragonCopilotAdmin,DeletedSetting
DragonCopilot,DragonCopilotAdmin,DeprovisionedProduct
DragonCopilot,DragonCopilotAdmin,ListedBillingPlans
DragonCopilot,DragonCopilotAdmin,ListedEhrInstances
DragonCopilot,DragonCopilotAdmin,ListedEnvironments
DragonCopilot,DragonCopilotAdmin,ListedExtensions
DragonCopilot,DragonCopilotAdmin,ListedGroups
DragonCopilot,DragonCopilotAdmin,ListedOrganizations
DragonCopilot,DragonCopilotAdmin,ListedRoleAssignments
DragonCopilot,DragonCopilotAdmin,ListedSettings
DragonCopilot,DragonCopilotAdmin,ProvisionedProduct
DragonCopilot,DragonCopilotAdmin,QueuedDeprovision
DragonCopilot,DragonCopilotAdmin,RemovedGroupMember
DragonCopilot,DragonCopilotAdmin,UpdatedBillingPlan
DragonCopilot,DragonCopilotAdmin,UpdatedDataExportConfig
DragonCopilot,DragonCopilotAdmin,UpdatedEhrConnector
DragonCopilot,DragonCopilotAdmin,UpdatedEhrInstance
DragonCopilot,DragonCopilotAdmin,UpdatedEnvironment
DragonCopilot,DragonCopilotAdmin,UpdatedExtension
DragonCopilot,DragonCopilotAdmin,UpdatedGroup
DragonCopilot,DragonCopilotAdmin,UpdatedOrganization
DragonCopilot,DragonCopilotAdmin,UpdatedSetting
DragonCopilot,DragonCopilotAdmin,ViewedBillingPlan
DragonCopilot,DragonCopilotAdmin,ViewedDataExportConfig
DragonCopilot,DragonCopilotAdmin,ViewedEhrConnector
DragonCopilot,DragonCopilotAdmin,ViewedEhrInstance
DragonCopilot,DragonCopilotAdmin,ViewedEnvironment
DragonCopilot,DragonCopilotAdmin,ViewedExtension
DragonCopilot,DragonCopilotAdmin,ViewedGroup
